pid,name,username,status,create_time,cpu_times,memory_info,memory_percent
2972,unsecapp.exe,,running,2023-12-14 12:06:59,5:55:52.455380,"pmem(rss=8245248, vms=1720320, num_page_faults=2963, peak_wset=8536064, wset=8245248, peak_paged_pool=74512, paged_pool=71024, peak_nonpaged_pool=9784, nonpaged_pool=8968, pagefile=1720320, peak_pagefile=1781760, private=1720320)",0.04984211710891951
3100,SearchIndexer.exe,,running,2023-12-14 12:05:11,5:57:40.366033,"pmem(rss=81752064, vms=74379264, num_page_faults=1368920, peak_wset=177004544, wset=81752064, peak_paged_pool=242624, paged_pool=240768, peak_nonpaged_pool=141832, nonpaged_pool=44024, pagefile=74379264, peak_pagefile=174845952, private=74379264)",0.4941871909473048
3204,svchost.exe,,running,2023-12-14 12:04:53,5:57:58.230881,"pmem(rss=7815168, vms=2027520, num_page_faults=4146, peak_wset=8560640, wset=7815168, peak_paged_pool=77928, paged_pool=77656, peak_nonpaged_pool=11608, nonpaged_pool=10112, pagefile=2027520, peak_pagefile=2523136, private=2027520)",0.04724230474109212
3292,WUDFHost.exe,,running,2023-12-14 12:04:53,5:57:58.260261,"pmem(rss=8613888, vms=2531328, num_page_faults=3164, peak_wset=10125312, wset=8613888, peak_paged_pool=91960, paged_pool=91688, peak_nonpaged_pool=17184, nonpaged_pool=13808, pagefile=2531328, peak_pagefile=2727936, private=2531328)",0.05207052770991442
3328,svchost.exe,,running,2023-12-14 12:07:01,5:55:49.735708,"pmem(rss=9764864, vms=2023424, num_page_faults=4381, peak_wset=10264576, wset=9764864, peak_paged_pool=91360, paged_pool=86192, peak_nonpaged_pool=12368, nonpaged_pool=10464, pagefile=2023424, peak_pagefile=2449408, private=2023424)",0.05902812080857631
3364,svchost.exe,,running,2023-12-14 12:04:53,5:57:58.534375,"pmem(rss=10444800, vms=3878912, num_page_faults=8390, peak_wset=12337152, wset=10444800, peak_paged_pool=108568, paged_pool=106512, peak_nonpaged_pool=141648, nonpaged_pool=12960, pagefile=3878912, peak_pagefile=4415488, private=3878912)",0.06313830036152247
3372,svchost.exe,,running,2023-12-14 12:04:53,5:57:58.286859,"pmem(rss=19791872, vms=10264576, num_page_faults=87877, peak_wset=23969792, wset=19791872, peak_paged_pool=128064, paged_pool=126048, peak_nonpaged_pool=30704, nonpaged_pool=17688, pagefile=10264576, peak_pagefile=14409728, private=10264576)",0.1196408891556379
3384,svchost.exe,,running,2023-12-14 12:04:53,5:57:58.550164,"pmem(rss=13426688, vms=5464064, num_page_faults=33401, peak_wset=14839808, wset=13426688, peak_paged_pool=110808, paged_pool=106752, peak_nonpaged_pool=117664, nonpaged_pool=17040, pagefile=5464064, peak_pagefile=6332416, private=5464064)",0.08116366611179243
3400,svchost.exe,,running,2023-12-14 12:04:53,5:57:58.556104,"pmem(rss=9535488, vms=2334720, num_page_faults=3558, peak_wset=11030528, wset=9535488, peak_paged_pool=111064, paged_pool=110752, peak_nonpaged_pool=13184, nonpaged_pool=11416, pagefile=2334720, peak_pagefile=2727936, private=2334720)",0.05764155421240169
3452,msedge.exe,HAL-9000\PrisonMike,running,2023-12-14 14:18:40,3:44:11.081334,"pmem(rss=30990336, vms=24469504, num_page_faults=11518, peak_wset=36155392, wset=30990336, peak_paged_pool=932248, paged_pool=930104, peak_nonpaged_pool=43488, nonpaged_pool=24648, pagefile=24469504, peak_pagefile=24616960, private=24469504)",0.18733505119030552
3464,NVDisplay.Container.exe,,running,2023-12-14 12:04:53,5:57:58.560662,"pmem(rss=35360768, vms=27099136, num_page_faults=11325959, peak_wset=54480896, wset=35360768, peak_paged_pool=427456, paged_pool=288384, peak_nonpaged_pool=130872, nonpaged_pool=25872, pagefile=27099136, peak_pagefile=32980992, private=27099136)",0.21375409687098965
3476,WhatsApp.exe,HAL-9000\PrisonMike,stopped,2023-12-14 17:34:22,0:28:28.813256,"pmem(rss=22925312, vms=75534336, num_page_faults=98738, peak_wset=151429120, wset=22925312, peak_paged_pool=848080, paged_pool=828752, peak_nonpaged_pool=260776, nonpaged_pool=73016, pagefile=75534336, peak_pagefile=85434368, private=75534336)",0.13858237926409464
3520,svchost.exe,,running,2023-12-14 12:45:52,5:16:59.456519,"pmem(rss=12173312, vms=2732032, num_page_faults=4146, peak_wset=13508608, wset=12173312, peak_paged_pool=123712, paged_pool=118944, peak_nonpaged_pool=18104, nonpaged_pool=13464, pagefile=2732032, peak_pagefile=3231744, private=2732032)",0.07358707006840974
3572,amdfendrsr.exe,,running,2023-12-14 12:04:53,5:57:58.561956,"pmem(rss=7143424, vms=2486272, num_page_faults=2593, peak_wset=8245248, wset=7143424, peak_paged_pool=105616, paged_pool=105344, peak_nonpaged_pool=12560, nonpaged_pool=10112, pagefile=2486272, peak_pagefile=2707456, private=2486272)",0.04318164542372361
3580,AsusCertService.exe,,running,2023-12-14 12:04:53,5:57:58.570771,"pmem(rss=6037504, vms=1486848, num_page_faults=2129, peak_wset=7147520, wset=6037504, peak_paged_pool=107472, paged_pool=107200, peak_nonpaged_pool=9280, nonpaged_pool=8736, pagefile=1486848, peak_pagefile=1609728, private=1486848)",0.036496413620738875
3588,atiesrxx.exe,,running,2023-12-14 12:04:53,5:57:58.581685,"pmem(rss=6246400, vms=1863680, num_page_faults=2645, peak_wset=7573504, wset=6246400, peak_paged_pool=86584, paged_pool=85904, peak_nonpaged_pool=21696, nonpaged_pool=9992, pagefile=1863680, peak_pagefile=2510848, private=1863680)",0.037759179627969326
3596,svchost.exe,,running,2023-12-14 12:04:53,5:57:58.590053,"pmem(rss=20480000, vms=21504000, num_page_faults=32150, peak_wset=29368320, wset=20480000, peak_paged_pool=112560, paged_pool=94208, peak_nonpaged_pool=18328, nonpaged_pool=15840, pagefile=21504000, peak_pagefile=25739264, private=21504000)",0.12380058894416172
3612,svchost.exe,,running,2023-12-14 12:07:04,5:55:47.631174,"pmem(rss=10350592, vms=2961408, num_page_faults=4774, peak_wset=11620352, wset=10350592, peak_paged_pool=86424, paged_pool=85304, peak_nonpaged_pool=15488, nonpaged_pool=13224, pagefile=2961408, peak_pagefile=3620864, private=2961408)",0.06256881765237933
3652,fontdrvhost.exe,,running,2023-12-14 14:18:13,3:44:38.633450,"pmem(rss=14827520, vms=13697024, num_page_faults=59646, peak_wset=23474176, wset=14827520, peak_paged_pool=514824, paged_pool=262520, peak_nonpaged_pool=27192, nonpaged_pool=23112, pagefile=13697024, peak_pagefile=15364096, private=13697024)",0.08963162639557308
3672,svchost.exe,,running,2023-12-14 12:04:53,5:57:58.592962,"pmem(rss=8290304, vms=2473984, num_page_faults=4477, peak_wset=9723904, wset=8290304, peak_paged_pool=86056, paged_pool=84280, peak_nonpaged_pool=15520, nonpaged_pool=11040, pagefile=2473984, peak_pagefile=3387392, private=2473984)",0.050114478404596666
3688,svchost.exe,,running,2023-12-14 12:04:53,5:57:58.584986,"pmem(rss=24416256, vms=29491200, num_page_faults=217960, peak_wset=60235776, wset=24416256, peak_paged_pool=97032, paged_pool=91096, peak_nonpaged_pool=22704, nonpaged_pool=12776, pagefile=29491200, peak_pagefile=53698560, private=29491200)",0.1475950621392296
3780,svchost.exe,,running,2023-12-14 12:04:54,5:57:57.682241,"pmem(rss=15282176, vms=4526080, num_page_faults=127958, peak_wset=16007168, wset=15282176, peak_paged_pool=162808, paged_pool=152272, peak_nonpaged_pool=16992, nonpaged_pool=14136, pagefile=4526080, peak_pagefile=5431296, private=4526080)",0.09237999947013348
3796,Wacom_TouchUser.exe,HAL-9000\PrisonMike,running,2023-12-14 14:18:21,3:44:30.582156,"pmem(rss=14548992, vms=6033408, num_page_faults=33250, peak_wset=21274624, wset=14548992, peak_paged_pool=523712, paged_pool=213928, peak_nonpaged_pool=31456, nonpaged_pool=14680, pagefile=6033408, peak_pagefile=11898880, private=6033408)",0.0879479383859325
3888,svchost.exe,,running,2023-12-14 12:04:53,5:57:58.556953,"pmem(rss=6361088, vms=1495040, num_page_faults=2334, peak_wset=7168000, wset=6361088, peak_paged_pool=62400, paged_pool=62128, peak_nonpaged_pool=9648, nonpaged_pool=8152, pagefile=1495040, peak_pagefile=1736704, private=1495040)",0.038452462926056634
